DATE,age,avg_bg,bmr,body_fat,e_caffeine,e_calcium,e_calories,e_carbs,e_cholesterol,e_count,e_fat,e_fiber,e_iron,e_monounsaturated_fat,e_num_drinks,e_num_foods,e_num_mealitems_green,e_num_mealitems_red,e_num_mealitems_with_score,e_num_mealitems_yellow,e_num_water,e_polyunsaturated_fat,e_potassium,e_protein,e_sat_fat,e_sodium,e_sugar,e_trans_fat,e_unsat_fat,e_vitamin_a,e_vitamin_c,gender,goal_body_weight,goal_body_weight_intent,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_steps_3am,m_total_calories,m_workout_count,m_workout_time,max_bg,min_bg,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_clinical_deep,n_count,n_deep,n_duration,n_light,n_quality,n_rem,n_to_bed_phr,num_readings,rhr,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_clinical_deep,s_count,s_deep,s_duration,s_light,s_quality,s_rem,s_to_bed_phr,weight
20160217,23.937158469945356,,1386.7260681312328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.7260681312328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160218,23.939890710382514,,1386.713258268219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.713258268219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160219,23.942622950819672,,1386.7004484052054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.7004484052054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160220,23.94535519125683,,1386.6876385421917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6876385421917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160221,23.94808743169399,,1386.674828679178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.674828679178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160222,23.950819672131146,,1386.6620188161644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6620188161644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160223,23.953551912568305,,1386.6492089531507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6492089531507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160224,23.956284153005463,,1386.6363990901368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6363990901368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160225,23.959016393442624,,1386.6235892271231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6235892271231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160226,23.961748633879782,,1386.6107793641095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.6107793641095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160227,23.96448087431694,,1386.5979695010958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5979695010958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160228,23.9672131147541,,1386.5851596380821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5851596380821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160229,23.969945355191257,,1386.5723497750685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5723497750685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160301,23.972677595628415,,1386.5595399120548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5595399120548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160302,23.975409836065573,,1386.5467300490411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5467300490411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160303,23.97814207650273,,1386.5339201860274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5339201860274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160304,23.98087431693989,,1386.5211103230135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5211103230135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160305,23.983606557377048,,1386.5083004599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.5083004599999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160306,23.98633879781421,,1386.4954905969862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4954905969862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160307,23.989071038251367,,1386.4826807339725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4826807339725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160308,23.991803278688526,,1386.4698708709589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4698708709589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160309,23.994535519125684,,1386.4570610079452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4570610079452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
20160310,23.997267759562842,,1386.4442511449315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,1.6764,,,,,,,,,1386.4442511449315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.7919
