lucky,7
luggage,6
lump,5
lunch,5
lung,5
lurk,6
luscious,5
lust,7
luxury,5
machine,4
mad,7
madman,6
madness,6
magazine,5
maggot,5
magical,6
magnet,5
maid,5
mail,6
makeup,4
malaria,4
male,5
malice,6
malnutrition,6
malt,5
man,5
mane,4
mangle,5
maniac,5
manner,5
manor,5
mansion,6
mantel,3
manure,4
map,4
margin,4
market,4
marrow,4
marry,6
marsh,4
marvel,5
mascot,5
mask,5
massacre,5
mastectomy,5
masterful,5
mastery,6
masturbate,6
matador,6
mate,6
material,4
math,5
me,6
meal,6
measles,5
meat,5
meddle,5
medicine,4
meek,4
melody,5
melt,5
member,5
memorial,5
memories,6
memory,5
men,6
menace,6
mend,5
menu,5
mercy,5
merger,4
merry,6
messy,3
metal,4
meteor,6
method,4
midnight,7
mighty,6
mildew,4
mile,5
military,5
milk,4
millionaire,6
mind,5
mingle,6
miracle,8
mischief,6
miserable,5
misery,5
missiles,7
missles,6
mistake,5
mitten,4
mob,6
mobility,5
model,6
modest,4
moist,5
mold,4
molest,5
moment,4
money,6
monk,3
monopoly,5
month,4
mood,5
moody,4
moon,5
moral,4
morale,5
morbid,5
morgue,5
moron,6
morsel,5
mosquito,5
moss,4
motel,5
moth,4
mother,6
motorcycle,6
mountain,5
mourn,6
mouth,5
movie,5
mucus,3
mud,4
muddy,4
muffin,5
muffle,5
mug,5
mule,4
murderer,7
muscular,5
museum,4
mushroom,5
music,5
musician,6
mutation,5
mutilate,6
mutilation,6
mystic,5
myth,6
nab,5
nag,5
nail,5
naked,6
name,4
napkin,4
narcotic,5
nasty,5
nation,5
natural,4
nature,4
necklace,5
nectar,4
needle,5
neglect,5
nerves,6
nervous,7
nestle,4
net,5
neurotic,5
news,5
newspaper,4
nice,4
niece,5
night,6
nightmare,8
nine,4
nip,5
nipple,6
noise,5
noisy,6
nonchalant,3
nonsense,4
noon,4
noose,4
nose,4
nosey,4
nourish,4
novel,5
novice,4
nozzle,5
nuclear,6
nude,6
nudist,6
nuisance,4
number,4
nun,3
nurse,5
nursery,4
oasis,5
oath,5
obesity,4
obey,4
object,4
obnoxious,5
obscene,5
obsessed,6
obsession,6
obstinate,4
ocean,5
octopus,5
odd,4
odor,5
offend,6
office,4
officer,6
oil,5
old,4
omelet,5
omit,4
onion,5
opera,4
opinion,5
opportunity,6
oppose,5
optimism,5
optimistic,6
option,5
orange,5
orangutan,5
orchestra,4
ordeal,5
organ,5
orgasm,8
orphan,5
ounce,4
outdoors,6
outlet,4
outrage,7
outstanding,6
oven,4
overcast,3
overweight,6
overwhelmed,7
owe,6
owl,4
pacify,4
packet,4
pact,5
pail,4
pain,7
paint,4
painting,5
palace,5
pale,4
pamphlet,4
pan,5
pancakes,4
pang,6
panic,7
pant,5
pantry,5
pantyhose,5
paper,3
paradise,5
paralysis,5
parch,5
parlor,4
parrot,5
part,4
party,7
passage,4
passion,7
passive,4
pasta,5
pastry,6
patent,4
path,5
patient,4
patio,4
patriot,5
patriotic,6
patriotism,6
pea,3
peace,3
peaceful,3
peanut,4
pear,4
pecan,4
pee,5
peep,5
penalty,5
pencil,3
penis,6
penny,4
penthouse,6
people,6
perfection,6
perfume,5
period,4
perish,5
permit,5
person,4
personality,6
pervert,6
pessimism,5
pest,6
pester,6
pet,5
phase,4
photo,6
picket,4
picnic,5
pie,4
pier,5
pierce,6
pig,4
pigeon,5
pill,5
pillow,3
pilot,5
pin,5
pinch,5
pint,5
pipe,5
pistol,6
pity,4
pizza,5
plain,4
plan,5
plane,6
planet,4
plant,4
plate,4
play,7
plaza,4
plea,5
plead,5
pleased,6
pleasure,6
pledge,5
plod,4
poach,5
poem,5
poet,5
poetry,4
poise,5
poison,6
poker,6
pole,4
police,6
policy,4
politeness,4
politics,5
pollen,5
pollute,6
pollution,6
pond,4
pony,5
pool,6
poor,5
popcorn,5
porch,4
pork,5
porpoise,4
position,5
positive,6
poster,4
potential,6
pout,5
poverty,5
power,7
powerful,6
prairie,3
praise,6
pray,5
prayer,5
preach,6
prefer,5
pregnant,6
preoccupied,5
present,5
president,6
press,5
pressure,6
prestige,6
pretty,6
price,5
prick,5
pride,6
priest,4
prince,6
princess,5
prison,6
privacy,4
problem,6
procedure,5
profit,7
progress,6
promotion,6
propeller,4
proper,4
prose,4
prostitute,6
protected,4
proud,6
pry,5
pub,5
puddle,4
pulp,4
pulpit,4
pun,5
pungent,4
punish,7
punishment,6
punk,5
puppy,6
purify,5
pus,5
pushy,6
putrid,6
python,6
quality,4
quarrel,6
quart,4
queen,5
quench,4
quick,7
quiet,3
quilt,4
quit,5
rabbit,4
rabies,6
race,5
rack,5
radar,6
radiant,5
radiator,4
radio,5
raft,5
rag,4
rage,8
rain,4
rainbow,5
raise,6
rally,7
ramble,5
rancid,5
randy,5
rape,7
rash,5
rat,5
rattle,4
raw,5
razor,5
react,6
ready,5
realize,5
reap,5
rebuff,5
recede,4
recipe,6
red,5
redeem,5
reef,6
refine,4
reflection,4
refreshment,4
refrigerator,5
refugee,5
refute,5
regime,5
regret,6
regretful,6
reign,5
rejected,6
rejection,6
relate,4
relax,2
relaxed,2
relent,5
relic,5
relief,4
religion,6
rely,5
remorse,6
remove,5
render,5
rent,5
repent,5
repentant,5
report,4
reptile,5
repulsed,6
rescue,7
resent,4
reserved,3
resign,4
resist,5
respect,5
respectful,5
response,5
restaurant,5
retain,5
retard,5
retire,5
retreat,4
reunion,6
reveal,6
revere,4
reverent,4
revert,5
revise,5
revive,6
revolt,7
revolver,6
reward,5
rhythm,6
rich,6
riches,6
riddle,5
ridicule,6
rifle,6
right,5
rigid,5
rigor,6
ring,5
rink,4
riot,6
risk,7
river,5
roach,7
road,5
roast,5
rob,6
robber,6
robbery,7
robot,5
rock,5
rodeo,5
role,5
rollercoaster,8
romance,7
romantic,8
roof,4
room,4
rope,5
rot,5
rotten,5
rough,5
rower,5
royalty,6
ruby,5
rude,6
rug,4
rugby,5
ruins,5
ruler,4
rules,4
rum,5
runner,5
rush,6
rusty,4
rye,4
sad,4
sadness,5
safe,4
safety,5
sailboat,5
saint,4
salad,4
salary,6
sale,6
salon,5
salt,5
salute,5
sand,5
sandwich,6
sapphire,5
satellite,5
satire,5
satisfaction,7
satisfied,5
saucer,4
save,5
savior,6
scalding,6
scandal,5
scapegoat,5
scar,5
scare,7
scared,7
scarf,3
scary,7
scene,5
scent,5
scholar,5
school,4
science,5
scientific,5
scissors,4
scoff,5
scold,6
scorch,5
scorching,5
scorn,5
scornful,5
scorpion,5
scream,7
scrotum,5
scuff,5
scum,5
scurvy,5
sea,5
seagull,5
seal,5
seasick,6
seat,3
secretary,5
secure,3
security,4
seduction,7
seek,5
seize,7
self,5
selfish,6
semen,6
sensitive,4
sentiment,4
sentry,4
serene,3
serious,4
sermon,4
sever,6
severe,5
sewage,5
sex,7
sexy,7
shadow,4
shaky,5
shame,6
shamed,5
shark,7
shawl,4
sheep,4
shelf,4
sheltered,4
shield,5
shine,5
ship,4
shock,7
shoes,5
shoplifter,6
shopping,6
short,4
shotgun,6
shower,6
shred,5
shriek,5
shrimp,5
shrink,5
shrub,4
shun,5
shut,5
shy,4
sick,4
sickness,6
sidle,5
sigh,3
sight,5
silent,3
silk,4
silly,6
silver,5
simple,4
sin,6
sinful,6
sing,6
sissy,5
sister,5
sizzle,6
skate,6
skeleton,5
skeptical,5
ski,7
skier,5
skijump,7
skill,6
skin,5
skinhead,5
skip,6
skit,5
skull,5
sky,4
skyline,5
skyscraper,6
slang,5
slap,6
slaughter,7
slave,6
slayer,6
sleep,3
slim,6
slime,5
slip,5
slob,4
slogan,4
slouch,4
slow,3
sludge,4
slum,5
slush,4
smack,6
smallpox,6
smart,6
smear,5
smell,5
smile,6
smirk,5
smoke,4
smooth,5
smudge,4
snail,4
snake,7
snare,5
snatch,5
sneakers,5
sneer,5
sneeze,5
snob,6
snow,6
snuggle,4
soak,5
soap,5
soar,6
sob,6
soccer,5
social,5
society,5
sock,3
soda,6
sodomize,5
sofa,3
soft,5
soil,4
soldier,5
solemn,4
son,6
song,6
soothe,5
soothe,4
sorrow,4
sorry,5
soul,4
soup,4
sour,5
spa,5
space,5
spanking,5
speech,6
spend,6
sphere,4
spice,6
spider,6
spike,5
spine,4
spirit,6
sponge,4
spoon,4
sports,6
spouse,5
spray,4
spring,6
spur,5
spurn,4
squad,5
square,3
squash,4
squeal,6
stagnant,4
stairs,5
stalk,5
star,6
startled,7
starvation,6
starve,5
starving,6
statue,3
status,5
steak,5
steal,5
steam,4
stench,4
stereo,6
stiff,4
stifle,5
sting,7
stingy,5
stink,4
stolen,6
stomach,4
stool,4
stop,4
store,5
